id,temperature,created_at,sound,light,dust,fan,motion
"'6676', ","'26.47',"," '2026-05-07  22:48:45',"," '19.44',"," '255',"," '0.0135',"," '1',", '0'
"'6677', ","'26.15',"," '2026-05-07  22:49:00',"," '10.09',"," '255',"," '0.0341',"," '1',", '0'
"'6678', ","'26.44',"," '2026-05-07  22:49:15',"," '13.59',"," '255',"," '0.0333',"," '1',", '0'
"'6679', ","'26.55',"," '2026-05-07  22:49:30',"," '16.61',"," '255',"," '0.0125',"," '1',", '0'
"'6680', ","'26.45',"," '2026-05-07  22:49:45',"," '12.34',"," '255',"," '0.0169',"," '1',", '0'
"'6681', ","'26.51',"," '2026-05-07  22:50:00',"," '12.94',"," '255',"," '0.0173',"," '1',", '0'
"'6682', ","'26.17',"," '2026-05-07  22:50:15',"," '9.99', ","'255', ","'0.0191', ","'1', ",'0'
"'6683', ","'26.44',"," '2026-05-07  22:50:30',"," '13.29',"," '255',"," '0.0321',"," '1',", '0'
"'6684', ","'26.31',"," '2026-05-07  22:50:45',"," '15.89',"," '255',"," '0.0261',"," '1',", '0'
"'6685', ","'26.31',"," '2026-05-07  22:51:00',"," '18.81',"," '255',"," '0.0213',"," '1',", '0'
"'6686', ","'26.39',"," '2026-05-07  22:51:15',"," '14.13',"," '255',"," '0.0287',"," '1',", '0'
"'6687', ","'26.07',"," '2026-05-07  22:51:30',"," '16.89',"," '255',"," '0.0196',"," '1',", '0'
"'6688', ","'26.21',"," '2026-05-07  22:51:45',"," '18.26',"," '255',"," '0.0266',"," '1',", '0'
"'6689', ","'26.32',"," '2026-05-07  22:52:00',"," '9.74', ","'255', ","'0.0317', ","'1', ",'0'
"'6690', ","'26.51',"," '2026-05-07  22:52:15',"," '16.22',"," '255',"," '0.0349',"," '1',", '0'
"'6691', ","'26.07',"," '2026-05-07  22:52:30',"," '12.51',"," '255',"," '0.0202',"," '1',", '0'
"'6692', ","'26.37',"," '2026-05-07  22:52:45',"," '13.36',"," '255',"," '0.0315',"," '1',", '0'
"'6693', ","'26.53',"," '2026-05-07  22:53:00',"," '12.56',"," '255',"," '0.028', ","'1', ",'0'
